id;situacao;data_de_chegada;data_de_saida;observacao
1;CANCELADO;2020-02-26T07:35:30;2020-02-26T10:24:35;auxiliary Liaison
2;EM_ANDAMENTO;2020-02-26T16:57:16;2020-02-26T17:30:07;Moldovan Leu
3;CONCLUIDO;2020-02-26T03:50:59;2020-02-26T09:22:52;THX
4;EM_ANDAMENTO;2020-02-25T23:19:06;2020-02-26T05:42:48;SAS parsing
5;CONCLUIDO;2020-02-26T16:00:44;2020-02-26T15:16:19;Small deposit microchip
6;CONCLUIDO;2020-02-26T06:09:11;2020-02-26T01:37:25;generating frictionless solution-oriented
7;CANCELADO;2020-02-26T08:04:05;2020-02-26T14:45:47;generate magnetic
8;EM_ANDAMENTO;2020-02-26T20:18:21;2020-02-26T02:12:17;Cambridgeshire Central
9;CANCELADO;2020-02-26T10:02:55;2020-02-26T06:16:32;incentivize purple
10;CONCLUIDO;2020-02-26T01:26:03;2020-02-26T18:55:38;needs-based Sports Global
