id;titulo;inicio;termino;observacao;realizado
1;New Jersey web-readiness;2020-02-26T05:38:31;2020-02-26T13:33:20;Auto Loan Account Personal Loan Account;true
2;withdrawal Planner;2020-02-26T16:14:07;2020-02-26T01:09:05;grey Investment Account;true
3;program Soft interface;2020-02-26T01:13:53;2020-02-26T08:36:12;deposit;false
4;Bedfordshire applications Sleek Cotton Bike;2020-02-26T20:42:37;2020-02-26T02:09:00;Pike Borders;false
5;Checking Account Tuna;2020-02-26T13:39:43;2020-02-26T15:33:23;incentivize SMTP Garden;true
6;Savings Account redefine Multi-channelled;2020-02-26T17:24:56;2020-02-26T17:22:58;Practical Wooden Gloves Jordan open-source;true
7;content;2020-02-26T17:04:43;2020-02-26T08:56:19;Assurance De-engineered;false
8;integrate;2020-02-26T08:30:54;2020-02-26T05:22:28;payment Spur;true
9;online Utah COM;2020-02-26T18:06:28;2020-02-26T10:05:25;Computers;true
10;Granite;2020-02-26T17:30:03;2020-02-26T00:34:10;Generic Wooden Bike;false
